,year,round,game,home_team,away_team,home_score,away_score,winner
2017_3_8,2017,3,8,Leeannacondas,Kandys Konservatives,64.02,38.68,Leeannacondas
2017_4_1,2017,4,1,Daisy Duke Johnsons on Top,DIGGS IS HOW WE DO IT,71.34,105.92,DIGGS IS HOW WE DO IT
2017_4_2,2017,4,2,Kandys Konservatives,The Aligators,86.72,75.68,Kandys Konservatives
2017_4_3,2017,4,3,Look Morty I'm Charcand-Rick,SERPION,93.7,92.78,Look Morty I'm Charcand-Rick
2017_4_4,2017,4,4,All you Snead is love,lynching jordies,86.72,96.88,lynching jordies
2017_4_5,2017,4,5,Ring my Bell,Unleash the DemoGordon,109.1,75.84,Ring my Bell
2017_4_6,2017,4,6,Wake up Mr Freeman,Meet the Winstons,71.68,110.98,Meet the Winstons
2017_4_7,2017,4,7,Chicken Karama with rice,Leeannacondas,71.98,112.96,Leeannacondas
2017_4_8,2017,4,8,The Adams Family,Murray'd with Children,95.76,93.48,The Adams Family
2017_5_1,2017,5,1,All you Snead is love,DIGGS IS HOW WE DO IT,101.52,77.36,All you Snead is love
2017_5_2,2017,5,2,Daisy Duke Johnsons on Top,lynching jordies,126.22,98.72,Daisy Duke Johnsons on Top
2017_5_3,2017,5,3,The Adams Family,Ring my Bell,101.76,92.72,The Adams Family
2017_5_4,2017,5,4,Murray'd with Children,Unleash the DemoGordon,65.24,90.38,Unleash the DemoGordon
2017_5_5,2017,5,5,The Aligators,Look Morty I'm Charcand-Rick,108.16,67.4,The Aligators
2017_5_6,2017,5,6,Kandys Konservatives,SERPION,101.44,106.54,SERPION
2017_5_7,2017,5,7,Wake up Mr Freeman,Chicken Karama with rice,83.04,55.7,Wake up Mr Freeman
2017_5_8,2017,5,8,Leeannacondas,Meet the Winstons,103.94,77.86,Leeannacondas
2017_6_1,2017,6,1,Ring my Bell,DIGGS IS HOW WE DO IT,124.88,80.64,Ring my Bell
2017_6_2,2017,6,2,Wake up Mr Freeman,The Aligators,86.32,88.78,The Aligators
2017_6_3,2017,6,3,Leeannacondas,SERPION,109.52,95.06,Leeannacondas
2017_6_4,2017,6,4,Murray'd with Children,lynching jordies,90.76,104.98,lynching jordies
2017_6_5,2017,6,5,Daisy Duke Johnsons on Top,Unleash the DemoGordon,94.52,115.18,Unleash the DemoGordon
2017_6_6,2017,6,6,Kandys Konservatives,Meet the Winstons,69.3,90.34,Meet the Winstons
2017_6_7,2017,6,7,Chicken Karama with rice,Look Morty I'm Charcand-Rick,93.42,70.1,Chicken Karama with rice
2017_6_8,2017,6,8,All you Snead is love,The Adams Family,86.84,119.88,The Adams Family
2017_7_1,2017,7,1,Meet the Winstons,DIGGS IS HOW WE DO IT,111.26,138.78,DIGGS IS HOW WE DO IT
2017_7_2,2017,7,2,Unleash the DemoGordon,The Aligators,69.26,113.32,The Aligators
2017_7_3,2017,7,3,The Adams Family,SERPION,115.5,84.86,The Adams Family
2017_7_4,2017,7,4,lynching jordies,Chicken Karama with rice,85.46,84.22,lynching jordies
2017_7_5,2017,7,5,Kandys Konservatives,Ring my Bell,73.24,86.56,Ring my Bell
2017_7_6,2017,7,6,Wake up Mr Freeman,Daisy Duke Johnsons on Top,67.78,69.62,Daisy Duke Johnsons on Top
2017_7_7,2017,7,7,All you Snead is love,Leeannacondas,80.44,104.32,Leeannacondas
2017_7_8,2017,7,8,Look Morty I'm Charcand-Rick,Murray'd with Children,92.32,104.02,Murray'd with Children
2017_8_1,2017,8,1,DIGGS IS HOW WE DO IT,Murray'd with Children,110.68,88.9,DIGGS IS HOW WE DO IT
2017_8_2,2017,8,2,Ring my Bell,lynching jordies,113.08,96.92,Ring my Bell
2017_8_3,2017,8,3,The Adams Family,Daisy Duke Johnsons on Top,90.12,93.98,Daisy Duke Johnsons on Top
2017_8_4,2017,8,4,All you Snead is love,Unleash the DemoGordon,66.86,123.88,Unleash the DemoGordon
2017_8_5,2017,8,5,Leeannacondas,The Aligators,133.52,71.64,Leeannacondas
2017_8_6,2017,8,6,Wake up Mr Freeman,SERPION,55.72,130.72,SERPION
2017_8_7,2017,8,7,Chicken Karama with rice,Kandys Konservatives,58.06,95.38,Kandys Konservatives
2017_8_8,2017,8,8,Meet the Winstons,Look Morty I'm Charcand-Rick,125.7,68.82,Meet the Winstons
2017_9_1,2017,9,1,SERPION,DIGGS IS HOW WE DO IT,102.36,96.82,SERPION
2017_9_2,2017,9,2,lynching jordies,The Aligators,77.7,89.46,The Aligators
2017_9_3,2017,9,3,Wake up Mr Freeman,Ring my Bell,81.92,105.18,Ring my Bell
2017_9_4,2017,9,4,Murray'd with Children,Leeannacondas,102.4,78.6,Murray'd with Children
2017_9_5,2017,9,5,Look Morty I'm Charcand-Rick,Daisy Duke Johnsons on Top,89.38,107.12,Daisy Duke Johnsons on Top
2017_9_6,2017,9,6,Kandys Konservatives,All you Snead is love,76.68,107.82,All you Snead is love
2017_9_7,2017,9,7,Meet the Winstons,Unleash the DemoGordon,73.18,71.36,Meet the Winstons
2017_9_8,2017,9,8,Chicken Karama with rice,The Adams Family,72.22,108.64,The Adams Family
2017_10_1,2017,10,1,lynching jordies,DIGGS IS HOW WE DO IT,95.64,88.74,lynching jordies
2017_10_2,2017,10,2,SERPION,The Aligators,111.64,66.0,SERPION
2017_10_3,2017,10,3,Murray'd with Children,Ring my Bell,87.24,105.12,Ring my Bell
2017_10_4,2017,10,4,Leeannacondas,Wake up Mr Freeman,103.68,85.88,Leeannacondas
2017_10_5,2017,10,5,All you Snead is love,Daisy Duke Johnsons on Top,76.36,95.96,Daisy Duke Johnsons on Top
2017_10_6,2017,10,6,Kandys Konservatives,Look Morty I'm Charcand-Rick,120.36,110.38,Kandys Konservatives
2017_10_7,2017,10,7,Unleash the DemoGordon,The Adams Family,83.2,95.76,The Adams Family
2017_10_8,2017,10,8,Chicken Karama with rice,Meet the Winstons,64.6,80.78,Meet the Winstons
2017_11_1,2017,11,1,Ring my Bell,DIGGS IS HOW WE DO IT,127.32,82.5,Ring my Bell
2017_11_2,2017,11,2,The Aligators,Wake up Mr Freeman,99.62,36.1,The Aligators
2017_11_3,2017,11,3,Leeannacondas,SERPION,126.66,74.2,Leeannacondas
2017_11_4,2017,11,4,lynching jordies,Murray'd with Children,79.9,70.88,lynching jordies
2017_11_5,2017,11,5,Daisy Duke Johnsons on Top,Unleash the DemoGordon,110.84,77.94,Daisy Duke Johnsons on Top
2017_11_6,2017,11,6,Kandys Konservatives,Meet the Winstons,71.86,77.4,Meet the Winstons
2017_11_7,2017,11,7,Look Morty I'm Charcand-Rick,Chicken Karama with rice,114.08,116.0,Chicken Karama with rice
2017_11_8,2017,11,8,All you Snead is love,The Adams Family,81.9,120.36,The Adams Family
2017_12_1,2017,12,1,Daisy Duke Johnsons on Top,DIGGS IS HOW WE DO IT,101.76,95.96,Daisy Duke Johnsons on Top
2017_12_2,2017,12,2,Kandys Konservatives,The Aligators,104.02,85.42,Kandys Konservatives
2017_12_3,2017,12,3,Look Morty I'm Charcand-Rick,SERPION,93.38,68.66,Look Morty I'm Charcand-Rick
2017_12_4,2017,12,4,lynching jordies,All you Snead is love,115.48,56.74,lynching jordies
2017_12_5,2017,12,5,Ring my Bell,Unleash the DemoGordon,108.12,80.16,Ring my Bell
2017_12_6,2017,12,6,Wake up Mr Freeman,Meet the Winstons,94.34,90.76,Wake up Mr Freeman
2017_12_7,2017,12,7,Leeannacondas,Chicken Karama with rice,101.34,160.18,Chicken Karama with rice
2017_12_8,2017,12,8,Murray'd with Children,The Adams Family,63.72,99.9,The Adams Family
2017_13_1,2017,13,1,Unleash the DemoGordon,DIGGS IS HOW WE DO IT,95.16,90.94,Unleash the DemoGordon
2017_13_2,2017,13,2,Meet the Winstons,The Aligators,96.6,98.52,The Aligators
2017_13_3,2017,13,3,Chicken Karama with rice,SERPION,106.22,86.78,Chicken Karama with rice
2017_13_4,2017,13,4,The Adams Family,lynching jordies,93.48,95.92,lynching jordies
2017_13_5,2017,13,5,Ring my Bell,Daisy Duke Johnsons on Top,128.28,85.6,Ring my Bell
2017_13_6,2017,13,6,Kandys Konservatives,Wake up Mr Freeman,92.02,60.9,Kandys Konservatives
2017_13_7,2017,13,7,Look Morty I'm Charcand-Rick,Leeannacondas,70.04,121.0,Leeannacondas
2017_13_8,2017,13,8,Murray'd with Children,All you Snead is love,67.9,74.76,All you Snead is love
2017_14_1,2017,14,1,Chicken Karama with rice,DIGGS IS HOW WE DO IT,97.64,78.42,Chicken Karama with rice
2017_14_2,2017,14,2,Kandys Konservatives,Wake up Mr Freeman,65.08,88.5,Wake up Mr Freeman
2017_14_3,2017,14,3,Meet the Winstons,Daisy Duke Johnsons on Top,121.4,102.06,Meet the Winstons
2017_14_4,2017,14,4,Leeannacondas,lynching jordies,107.94,142.82,lynching jordies
2017_15_1,2017,15,1,Murray'd with Children,DIGGS IS HOW WE DO IT,56.66,122.84,DIGGS IS HOW WE DO IT
2017_15_2,2017,15,2,Kandys Konservatives,Look Morty I'm Charcand-Rick,81.98,86.84,Look Morty I'm Charcand-Rick
2017_15_3,2017,15,3,The Adams Family,Meet the Winstons,138.08,109.96,The Adams Family
2017_15_4,2017,15,4,lynching jordies,Ring my Bell,109.42,111.38,Ring my Bell
2017_16_1,2017,16,1,DIGGS IS HOW WE DO IT,Look Morty I'm Charcand-Rick,92.28,79.56,DIGGS IS HOW WE DO IT
2017_16_2,2017,16,2,Murray'd with Children,Kandys Konservatives,72.74,68.2,Murray'd with Children
2017_16_3,2017,16,3,Wake up Mr Freeman,Chicken Karama with rice,62.0,69.32,Chicken Karama with rice
2017_16_4,2017,16,4,The Adams Family,Ring my Bell,115.02,96.12,The Adams Family
2017_16_5,2017,16,5,Meet the Winstons,lynching jordies,89.98,50.26,Meet the Winstons
2017_16_6,2017,16,6,Daisy Duke Johnsons on Top,Leeannacondas,78.5,106.94,Leeannacondas
2018_1_1,2018,1,1,Economic Gurley Men,Huey Lewis and the News,103.84,106.04,Huey Lewis and the News
2018_1_2,2018,1,2,Sack Crack n Dak,The Ertz Lockett,96.4,106.96,The Ertz Lockett
2018_1_3,2018,1,3,Harder Breida Faster Stronger,Standard Deviations,75.8,139.92,Standard Deviations
2018_1_4,2018,1,4,Kandys Konservative Koalition,Leeannacondas,72.26,69.94,Kandys Konservative Koalition
2018_1_5,2018,1,5,Kelce me rollin they hatin,L'Ebron James,123.06,90.04,Kelce me rollin they hatin
2018_1_6,2018,1,6,Wake up Mr Freeman,Chicken Karama with rice,66.96,106.94,Chicken Karama with rice
2018_1_7,2018,1,7,Peaches and Kareem,The Stafford wives,114.48,115.04,The Stafford wives
2018_1_8,2018,1,8,The Aligators,SERPION,142.44,92.92,The Aligators
2018_2_1,2018,2,1,The Stafford wives,Huey Lewis and the News,81.48,111.3,Huey Lewis and the News
2018_2_2,2018,2,2,SERPION,Economic Gurley Men,122.04,113.0,SERPION
2018_2_3,2018,2,3,Peaches and Kareem,The Ertz Lockett,100.26,116.52,The Ertz Lockett
2018_2_4,2018,2,4,The Aligators,Sack Crack n Dak,144.54,79.6,The Aligators
2018_2_5,2018,2,5,Standard Deviations,L'Ebron James,83.26,91.74,L'Ebron James
2018_2_6,2018,2,6,Leeannacondas,Kelce me rollin they hatin,104.68,139.1,Kelce me rollin they hatin
2018_2_7,2018,2,7,Harder Breida Faster Stronger,Chicken Karama with rice,123.88,107.8,Harder Breida Faster Stronger
2018_2_8,2018,2,8,Wake up Mr Freeman,Kandys Konservative Koalition,63.64,62.06,Wake up Mr Freeman
2018_3_1,2018,3,1,The Aligators,Huey Lewis and the News,90.66,128.6,Huey Lewis and the News
2018_3_2,2018,3,2,The Stafford wives,Sack Crack n Dak,98.58,62.82,The Stafford wives
2018_3_3,2018,3,3,Wake up Mr Freeman,Standard Deviations,68.64,118.86,Standard Deviations
2018_3_4,2018,3,4,Kandys Konservative Koalition,L'Ebron James,62.06,99.04,L'Ebron James
2018_3_5,2018,3,5,Peaches and Kareem,Economic Gurley Men,77.22,99.6,Economic Gurley Men
2018_3_6,2018,3,6,SERPION,The Ertz Lockett,114.48,111.34,SERPION
2018_3_7,2018,3,7,Leeannacondas,Chicken Karama with rice,108.1,151.96,Chicken Karama with rice
2018_3_8,2018,3,8,Kelce me rollin they hatin,Harder Breida Faster Stronger,63.14,82.52,Harder Breida Faster Stronger
2018_4_1,2018,4,1,L'Ebron James,Huey Lewis and the News,94.1,135.68,Huey Lewis and the News
2018_4_2,2018,4,2,Kelce me rollin they hatin,Economic Gurley Men,178.08,165.3,Kelce me rollin they hatin
2018_4_3,2018,4,3,Chicken Karama with rice,The Ertz Lockett,139.26,100.08,Chicken Karama with rice
2018_4_4,2018,4,4,Wake up Mr Freeman,Sack Crack n Dak,79.8,64.6,Wake up Mr Freeman
2018_4_5,2018,4,5,The Stafford wives,Standard Deviations,96.68,115.8,Standard Deviations
2018_4_6,2018,4,6,Leeannacondas,SERPION,121.92,74.98,Leeannacondas
2018_4_7,2018,4,7,Harder Breida Faster Stronger,Peaches and Kareem,82.36,93.56,Peaches and Kareem
2018_4_8,2018,4,8,Kandys Konservative Koalition,The Aligators,117.46,129.66,The Aligators
2018_5_1,2018,5,1,Wake up Mr Freeman,Huey Lewis and the News,79.56,120.58,Huey Lewis and the News
2018_5_2,2018,5,2,L'Ebron James,Sack Crack n Dak,108.96,109.72,Sack Crack n Dak
2018_5_3,2018,5,3,The Aligators,Standard Deviations,80.02,63.84,The Aligators
2018_5_4,2018,5,4,Kandys Konservative Koalition,The Stafford wives,80.9,92.32,The Stafford wives
2018_5_5,2018,5,5,Chicken Karama with rice,Economic Gurley Men,86.28,114.3,Economic Gurley Men
2018_5_6,2018,5,6,The Ertz Lockett,Kelce me rollin they hatin,120.52,96.94,The Ertz Lockett
2018_5_7,2018,5,7,Peaches and Kareem,Leeannacondas,113.34,110.58,Peaches and Kareem
2018_5_8,2018,5,8,Harder Breida Faster Stronger,SERPION,84.5,115.82,SERPION
2018_6_1,2018,6,1,Huey Lewis and the News,Standard Deviations,117.7,88.64,Huey Lewis and the News
2018_6_2,2018,6,2,Economic Gurley Men,Leeannacondas,88.98,106.4,Leeannacondas
2018_6_3,2018,6,3,Harder Breida Faster Stronger,The Ertz Lockett,93.46,87.86,Harder Breida Faster Stronger
2018_6_4,2018,6,4,Kandys Konservative Koalition,Sack Crack n Dak,110.74,111.22,Sack Crack n Dak
2018_6_5,2018,6,5,The Stafford wives,L'Ebron James,76.36,119.78,L'Ebron James
2018_6_6,2018,6,6,Kelce me rollin they hatin,SERPION,125.42,104.0,Kelce me rollin they hatin
2018_6_7,2018,6,7,Chicken Karama with rice,Peaches and Kareem,91.2,118.1,Peaches and Kareem
2018_6_8,2018,6,8,Wake up Mr Freeman,The Aligators,63.38,129.02,The Aligators
2018_7_1,2018,7,1,SERPION,Huey Lewis and the News,95.3,151.16,Huey Lewis and the News
2018_7_2,2018,7,2,The Stafford wives,Economic Gurley Men,69.28,81.96,Economic Gurley Men
2018_7_3,2018,7,3,The Aligators,The Ertz Lockett,115.2,122.38,The Ertz Lockett
2018_7_4,2018,7,4,Peaches and Kareem,Sack Crack n Dak,128.88,83.44,Peaches and Kareem
2018_7_5,2018,7,5,Kelce me rollin they hatin,Standard Deviations,64.64,96.88,Standard Deviations
2018_7_6,2018,7,6,L'Ebron James,Leeannacondas,120.52,74.62,L'Ebron James
2018_7_7,2018,7,7,Harder Breida Faster Stronger,Wake up Mr Freeman,95.82,70.34,Harder Breida Faster Stronger
2018_7_8,2018,7,8,Chicken Karama with rice,Kandys Konservative Koalition,117.36,107.94,Chicken Karama with rice
2018_8_1,2018,8,1,Kandys Konservative Koalition,Huey Lewis and the News,102.56,122.06,Huey Lewis and the News
2018_8_2,2018,8,2,Standard Deviations,Sack Crack n Dak,58.5,78.6,Sack Crack n Dak
2018_8_3,2018,8,3,The Aligators,L'Ebron James,109.44,136.62,L'Ebron James
2018_8_4,2018,8,4,Wake up Mr Freeman,The Stafford wives,109.56,69.3,Wake up Mr Freeman
2018_8_5,2018,8,5,Economic Gurley Men,Harder Breida Faster Stronger,123.86,108.68,Economic Gurley Men
2018_8_6,2018,8,6,Leeannacondas,The Ertz Lockett,90.44,92.1,The Ertz Lockett
2018_8_7,2018,8,7,Peaches and Kareem,Kelce me rollin they hatin,101.96,101.56,Peaches and Kareem
2018_8_8,2018,8,8,SERPION,Chicken Karama with rice,103.74,116.4,Chicken Karama with rice
2018_9_1,2018,9,1,The Ertz Lockett,Huey Lewis and the News,93.54,114.88,Huey Lewis and the News
2018_9_2,2018,9,2,Sack Crack n Dak,Economic Gurley Men,84.72,95.32,Economic Gurley Men
2018_9_3,2018,9,3,Leeannacondas,Standard Deviations,85.86,112.14,Standard Deviations
2018_9_4,2018,9,4,Kandys Konservative Koalition,Harder Breida Faster Stronger,107.52,59.4,Kandys Konservative Koalition
2018_9_5,2018,9,5,Chicken Karama with rice,L'Ebron James,129.2,116.78,Chicken Karama with rice
2018_9_6,2018,9,6,Wake up Mr Freeman,Kelce me rollin they hatin,59.84,96.36,Kelce me rollin they hatin
2018_9_7,2018,9,7,SERPION,The Stafford wives,98.0,105.86,The Stafford wives
2018_9_8,2018,9,8,Peaches and Kareem,The Aligators,103.76,65.54,Peaches and Kareem
2018_10_1,2018,10,1,Sack Crack n Dak,Huey Lewis and the News,113.4,83.42,Sack Crack n Dak
2018_10_2,2018,10,2,The Ertz Lockett,Economic Gurley Men,153.0,104.52,The Ertz Lockett
2018_10_3,2018,10,3,Kandys Konservative Koalition,Standard Deviations,56.34,82.42,Standard Deviations
2018_10_4,2018,10,4,Leeannacondas,Harder Breida Faster Stronger,88.16,121.22,Harder Breida Faster Stronger
2018_10_5,2018,10,5,Wake up Mr Freeman,L'Ebron James,40.82,106.2,L'Ebron James
2018_10_6,2018,10,6,Kelce me rollin they hatin,Chicken Karama with rice,126.42,107.8,Kelce me rollin they hatin
2018_10_7,2018,10,7,The Stafford wives,The Aligators,104.76,112.3,The Aligators
2018_10_8,2018,10,8,Peaches and Kareem,SERPION,106.16,99.74,Peaches and Kareem
2018_11_1,2018,11,1,Standard Deviations,Huey Lewis and the News,99.22,139.38,Huey Lewis and the News
2018_11_2,2018,11,2,Leeannacondas,Economic Gurley Men,83.08,76.72,Leeannacondas
2018_11_3,2018,11,3,Harder Breida Faster Stronger,The Ertz Lockett,84.16,103.92,The Ertz Lockett
2018_11_4,2018,11,4,Kandys Konservative Koalition,Sack Crack n Dak,82.18,84.0,Sack Crack n Dak
2018_11_5,2018,11,5,L'Ebron James,The Stafford wives,117.42,96.1,L'Ebron James
2018_11_6,2018,11,6,SERPION,Kelce me rollin they hatin,72.2,104.48,Kelce me rollin they hatin
2018_11_7,2018,11,7,Peaches and Kareem,Chicken Karama with rice,90.86,95.24,Chicken Karama with rice
2018_11_8,2018,11,8,Wake up Mr Freeman,The Aligators,85.74,162.64,The Aligators
2018_12_1,2018,12,1,L'Ebron James,Huey Lewis and the News,132.92,135.04,Huey Lewis and the News
2018_12_2,2018,12,2,Kelce me rollin they hatin,Economic Gurley Men,87.58,89.0,Economic Gurley Men
2018_12_3,2018,12,3,Chicken Karama with rice,The Ertz Lockett,74.08,129.34,The Ertz Lockett
2018_12_4,2018,12,4,Wake up Mr Freeman,Sack Crack n Dak,76.36,88.22,Sack Crack n Dak
2018_12_5,2018,12,5,Standard Deviations,The Stafford wives,70.74,68.64,Standard Deviations
2018_12_6,2018,12,6,Leeannacondas,SERPION,114.52,151.56,SERPION
2018_12_7,2018,12,7,Peaches and Kareem,Harder Breida Faster Stronger,113.32,127.98,Harder Breida Faster Stronger
2018_12_8,2018,12,8,The Aligators,Kandys Konservative Koalition,85.64,93.12,Kandys Konservative Koalition
2018_13_1,2018,13,1,The Stafford wives,Huey Lewis and the News,85.6,103.5,Huey Lewis and the News
2018_13_2,2018,13,2,SERPION,Economic Gurley Men,100.6,108.76,Economic Gurley Men
2018_13_3,2018,13,3,Peaches and Kareem,The Ertz Lockett,85.94,91.58,The Ertz Lockett
2018_13_4,2018,13,4,The Aligators,Sack Crack n Dak,112.84,84.3,The Aligators
2018_13_5,2018,13,5,Standard Deviations,L'Ebron James,53.58,117.4,L'Ebron James
2018_13_6,2018,13,6,Kelce me rollin they hatin,Leeannacondas,98.24,85.82,Kelce me rollin they hatin
2018_13_7,2018,13,7,Harder Breida Faster Stronger,Chicken Karama with rice,87.94,97.9,Chicken Karama with rice
2018_13_8,2018,13,8,Wake up Mr Freeman,Kandys Konservative Koalition,68.66,91.46,Kandys Konservative Koalition
2018_14_1,2018,14,1,Kandys Konservative Koalition,The Stafford wives,85.82,63.94,Kandys Konservative Koalition
2018_14_2,2018,14,2,SERPION,Harder Breida Faster Stronger,121.68,101.78,SERPION
2018_14_3,2018,14,3,The Aligators,Chicken Karama with rice,119.12,116.38,The Aligators
2018_14_4,2018,14,4,Kelce me rollin they hatin,L'Ebron James,89.22,139.98,L'Ebron James
2018_15_1,2018,15,1,Leeannacondas,The Stafford wives,66.56,87.0,The Stafford wives
2018_15_2,2018,15,2,Harder Breida Faster Stronger,Wake up Mr Freeman,91.6,82.12,Harder Breida Faster Stronger
2018_15_3,2018,15,3,Huey Lewis and the News,L'Ebron James,61.24,72.12,L'Ebron James
2018_15_4,2018,15,4,The Aligators,The Ertz Lockett,79.16,108.02,The Ertz Lockett
2018_16_1,2018,16,1,Leeannacondas,Wake up Mr Freeman,160.98,74.42,Leeannacondas
2018_16_2,2018,16,2,Harder Breida Faster Stronger,The Stafford wives,107.2,109.64,The Stafford wives
2018_16_3,2018,16,3,Kandys Konservative Koalition,SERPION,95.64,121.54,SERPION
2018_16_4,2018,16,4,L'Ebron James,The Ertz Lockett,139.34,103.44,L'Ebron James
2018_16_5,2018,16,5,Huey Lewis and the News,The Aligators,62.2,71.76,The Aligators
2018_16_6,2018,16,6,Chicken Karama with rice,Kelce me rollin they hatin,107.36,88.62,Chicken Karama with rice
2019_1_1,2019,1,1,Standard Deviations,Leeannacondas,90.44,91.62,Leeannacondas
2019_1_2,2019,1,2,Hit em where it Ertz,The Aligators,98.6,88.62,Hit em where it Ertz
2019_1_3,2019,1,3,The Hatters,[name redacted],98.24,167.32,[name redacted]
2019_1_4,2019,1,4,SERPION,Fuller breida butter,103.0,72.22,SERPION
2019_1_5,2019,1,5,Rolling with Mahomies,Peaches and Kareem,93.52,105.1,Peaches and Kareem
2019_1_6,2019,1,6,The Action Jackson Show,We're in Evan,201.16,86.84,The Action Jackson Show
2019_1_7,2019,1,7,Chicken Karama with rice,Jumping the Chark,102.02,94.32,Chicken Karama with rice
2019_1_8,2019,1,8,Kandys Konservative Koalition,Wake up Mr Freeman,74.46,100.74,Wake up Mr Freeman
2019_2_1,2019,2,1,Standard Deviations,The Hatters,54.52,109.56,The Hatters
2019_2_2,2019,2,2,Kandys Konservative Koalition,The Aligators,84.12,89.1,The Aligators
2019_2_3,2019,2,3,Leeannacondas,Hit em where it Ertz,104.86,84.0,Leeannacondas
2019_2_4,2019,2,4,Wake up Mr Freeman,[name redacted],102.7,87.34,Wake up Mr Freeman
2019_2_5,2019,2,5,Fuller breida butter,We're in Evan,64.96,74.14,We're in Evan
2019_2_6,2019,2,6,The Action Jackson Show,Peaches and Kareem,126.28,139.1,Peaches and Kareem
2019_2_7,2019,2,7,Jumping the Chark,SERPION,86.16,99.92,SERPION
2019_2_8,2019,2,8,Chicken Karama with rice,Rolling with Mahomies,93.82,110.32,Rolling with Mahomies
2019_3_1,2019,3,1,Standard Deviations,The Aligators,80.42,111.26,The Aligators
2019_3_2,2019,3,2,Kandys Konservative Koalition,The Hatters,82.02,104.24,The Hatters
2019_3_3,2019,3,3,Chicken Karama with rice,Fuller breida butter,109.22,107.04,Chicken Karama with rice
2019_3_4,2019,3,4,Rolling with Mahomies,We're in Evan,124.76,94.58,Rolling with Mahomies
2019_3_5,2019,3,5,Wake up Mr Freeman,Hit em where it Ertz,80.06,109.1,Hit em where it Ertz
2019_3_6,2019,3,6,Leeannacondas,[name redacted],76.92,135.74,[name redacted]
2019_3_7,2019,3,7,Peaches and Kareem,Jumping the Chark,145.94,114.5,Peaches and Kareem
2019_3_8,2019,3,8,SERPION,The Action Jackson Show,108.04,86.58,SERPION
2019_4_1,2019,4,1,Standard Deviations,Rolling with Mahomies,92.18,112.0,Rolling with Mahomies
2019_4_2,2019,4,2,The Aligators,We're in Evan,93.74,70.68,The Aligators
2019_4_3,2019,4,3,The Action Jackson Show,Hit em where it Ertz,90.08,74.68,The Action Jackson Show
2019_4_4,2019,4,4,Jumping the Chark,[name redacted],97.98,126.02,[name redacted]
2019_4_5,2019,4,5,Chicken Karama with rice,The Hatters,102.0,63.7,Chicken Karama with rice
2019_4_6,2019,4,6,Fuller breida butter,Kandys Konservative Koalition,95.7,77.92,Fuller breida butter
2019_4_7,2019,4,7,Peaches and Kareem,Leeannacondas,141.4,74.14,Peaches and Kareem
2019_4_8,2019,4,8,SERPION,Wake up Mr Freeman,71.04,83.18,Wake up Mr Freeman
2019_5_1,2019,5,1,Standard Deviations,Fuller breida butter,95.2,193.54,Fuller breida butter
2019_5_2,2019,5,2,Chicken Karama with rice,The Aligators,69.36,154.28,The Aligators
2019_5_3,2019,5,3,We're in Evan,The Hatters,104.24,105.92,The Hatters
2019_5_4,2019,5,4,Rolling with Mahomies,Kandys Konservative Koalition,100.64,81.46,Rolling with Mahomies
2019_5_5,2019,5,5,Jumping the Chark,Hit em where it Ertz,80.02,72.6,Jumping the Chark
2019_5_6,2019,5,6,The Action Jackson Show,[name redacted],66.14,150.66,[name redacted]
2019_5_7,2019,5,7,Wake up Mr Freeman,Peaches and Kareem,91.7,137.32,Peaches and Kareem
2019_5_8,2019,5,8,Leeannacondas,SERPION,107.82,105.14,Leeannacondas
2019_6_1,2019,6,1,Standard Deviations,Chicken Karama with rice,76.62,79.4,Chicken Karama with rice
2019_6_2,2019,6,2,Fuller breida butter,The Aligators,85.6,90.3,The Aligators
2019_6_3,2019,6,3,Peaches and Kareem,Hit em where it Ertz,134.0,88.66,Peaches and Kareem
2019_6_4,2019,6,4,SERPION,[name redacted],85.98,92.32,[name redacted]
2019_6_5,2019,6,5,Rolling with Mahomies,The Hatters,85.32,98.96,The Hatters
2019_6_6,2019,6,6,We're in Evan,Kandys Konservative Koalition,88.72,142.0,Kandys Konservative Koalition
2019_6_7,2019,6,7,Leeannacondas,The Action Jackson Show,73.5,94.14,The Action Jackson Show
2019_6_8,2019,6,8,Wake up Mr Freeman,Jumping the Chark,89.24,69.32,Wake up Mr Freeman
2019_7_1,2019,7,1,Standard Deviations,[name redacted],106.22,114.76,[name redacted]
2019_7_2,2019,7,2,Leeannacondas,The Aligators,91.96,111.16,The Aligators
2019_7_3,2019,7,3,Kandys Konservative Koalition,Hit em where it Ertz,77.92,88.04,Hit em where it Ertz
2019_7_4,2019,7,4,Wake up Mr Freeman,The Hatters,109.56,73.86,Wake up Mr Freeman
2019_7_5,2019,7,5,The Action Jackson Show,Fuller breida butter,90.92,52.92,The Action Jackson Show
2019_7_6,2019,7,6,We're in Evan,Peaches and Kareem,43.04,98.44,Peaches and Kareem
2019_7_7,2019,7,7,Chicken Karama with rice,SERPION,91.56,139.88,SERPION
2019_7_8,2019,7,8,Jumping the Chark,Rolling with Mahomies,149.96,77.94,Jumping the Chark
2019_8_1,2019,8,1,Standard Deviations,We're in Evan,131.88,81.2,Standard Deviations
2019_8_2,2019,8,2,Rolling with Mahomies,The Aligators,106.74,137.88,The Aligators
2019_8_3,2019,8,3,Fuller breida butter,The Hatters,117.26,108.86,Fuller breida butter
2019_8_4,2019,8,4,Chicken Karama with rice,Kandys Konservative Koalition,91.84,75.32,Chicken Karama with rice
