,year,round,game,home_team,away_team,home_score,away_score,winner
2013_12_2,2013,12,2,I'm Sexy and I Knowshon It,The Catcher in the Rice,86.62,76.38,I'm Sexy and I Knowshon It
2013_12_3,2013,12,3,My Ball Zach Ertz,Jordy Shore,97.36,49.78,My Ball Zach Ertz
2013_12_4,2013,12,4,BREESUS - KING OF THE DREWS,The Claireville Cougars,123.82,85.42,BREESUS - KING OF THE DREWS
2013_12_5,2013,12,5,Havn't got a Kluwe,The Alligators,91.46,112.4,The Alligators
2013_12_6,2013,12,6,SERPION,The Sprockets,124.56,105.38,SERPION
2013_13_1,2013,13,1,DeMarco Polo,The Catcher in the Rice,120.52,94.8,DeMarco Polo
2013_13_2,2013,13,2,Jordy Shore,I'm Sexy and I Knowshon It,67.4,163.48,I'm Sexy and I Knowshon It
2013_13_3,2013,13,3,The Claireville Cougars,Skittles and Shady,86.8,97.5,Skittles and Shady
2013_13_4,2013,13,4,The Alligators,My Ball Zach Ertz,95.7,132.48,My Ball Zach Ertz
2013_13_5,2013,13,5,The Sprockets,BREESUS - KING OF THE DREWS,93.14,164.38,BREESUS - KING OF THE DREWS
2013_13_6,2013,13,6,SERPION,Havn't got a Kluwe,78.94,108.12,Havn't got a Kluwe
2013_14_1,2013,14,1,DeMarco Polo,The Claireville Cougars,134.48,118.04,DeMarco Polo
2013_14_2,2013,14,2,Jordy Shore,The Catcher in the Rice,79.34,99.06,The Catcher in the Rice
2013_14_3,2013,14,3,I'm Sexy and I Knowshon It,The Alligators,130.56,70.4,I'm Sexy and I Knowshon It
2013_14_4,2013,14,4,Skittles and Shady,The Sprockets,110.16,82.74,Skittles and Shady
2013_14_5,2013,14,5,My Ball Zach Ertz,SERPION,73.46,96.12,SERPION
2013_14_6,2013,14,6,BREESUS - KING OF THE DREWS,Havn't got a Kluwe,162.02,85.4,BREESUS - KING OF THE DREWS
2013_15_1,2013,15,1,DeMarco Polo,I'm Sexy and I Knowshon It,117.16,90.58,DeMarco Polo
2013_15_2,2013,15,2,Havn't got a Kluwe,Jordy Shore,123.72,57.1,Havn't got a Kluwe
2013_15_3,2013,15,3,My Ball Zach Ertz,The Catcher in the Rice,161.22,75.64,My Ball Zach Ertz
2013_15_4,2013,15,4,The Alligators,Skittles and Shady,116.12,96.52,The Alligators
2013_16_1,2013,16,1,DeMarco Polo,The Alligators,166.3,105.98,DeMarco Polo
2013_16_2,2013,16,2,Havn't got a Kluwe,My Ball Zach Ertz,118.14,81.7,Havn't got a Kluwe
2013_16_3,2013,16,3,Jordy Shore,The Catcher in the Rice,77.28,99.82,The Catcher in the Rice
2013_16_4,2013,16,4,I'm Sexy and I Knowshon It,Skittles and Shady,78.18,102.24,Skittles and Shady
2014_1_1,2014,1,1,IT'S ON LIKE NDAMUKONG,Rivers of Babylon,96.3,154.5,Rivers of Babylon
2014_1_2,2014,1,2,In The Aeroplane Over Vereen,JOSH GORDON'S GANJA ARMY,101.38,104.18,JOSH GORDON'S GANJA ARMY
2014_1_3,2014,1,3,Sanu Improved and Peytonted,Settlers of Catanzaro,116.86,108.46,Sanu Improved and Peytonted
2014_1_4,2014,1,4,The Alligators,Kung Fu Russel,107.72,88.84,The Alligators
2014_1_5,2014,1,5,Jordy 'Shaw,Doug and the Staff Infections,88.06,67.94,Jordy 'Shaw
2014_1_6,2014,1,6,SERPION,Players of Fortetude,121.52,100.36,SERPION
2014_2_1,2014,2,1,IT'S ON LIKE NDAMUKONG,In The Aeroplane Over Vereen,100.04,91.34,IT'S ON LIKE NDAMUKONG
2014_2_2,2014,2,2,JOSH GORDON'S GANJA ARMY,Sanu Improved and Peytonted,106.92,94.98,JOSH GORDON'S GANJA ARMY
